Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children
Yoruba,Ochosi,God,God of Hunting and Justice,Yoruba lands,Male,"Hunter, Just","Hunting, Justice",Bow and Arrow,"Blue, Yellow","Hunting, Justice",Married,Yemoja,Olorun,Oshun,Orunmila
Yoruba,Ochun,God,Goddess of Rivers and Love,Yoruba lands,Female,"Sweet, Compassionate","Rivers, Love","Rivers, Mirror",Yellow,"Love, Compassion",Married,Yemoja,Olorun,Shango,"Oya, Ogun"
Sao,Ode,God,"God of hunting, wilderness, and abundance",Forests,Male,Wild and Abundant,"Hunting, wilderness, abundance",Bow and arrow,Green,"Hunting skills, abundance, nature",,Olodumare,,,Various hunting and wilderness deities
Norse,Odin,God,"Allfather, God of Wisdom and War",Asgard,Male,All-fatherly,Wisdom and creation,"Gungnir (spear), wolves","Blue, silver","Wisdom, creation",Married,Bestla,Borr,"Frigg, many others","Many, including Thor, Loki"
Vodou,Ogun,God,God of War and Iron,"Haiti, New Orleans",Male,"Warrior, Smith, Protector","War, Iron, Labor","Machete, Sword, Anvil","Red, Blue","Warrior Code, Labor",Married,Bondye,,Erzulie Freda,"Many, including Ghede"
Sao,Ogun,God,"God of iron, war, and labor",Earth,Male,Courageous and Industrious,"Iron, war, labor",Machete,Iron Gray,"Strength, labor, protection",,Olodumare,,,Various iron and war deities
Caribbean,Ogun,Spirit,Warrior Spirit,"Haiti, Cuba, Trinidad",Male,"Warrior, Blacksmith","War, Iron, Labor","Machete, Anvil","Iron, Black","Strength, Hard Work",,,,,
Yoruba,Ogun,God,God of Iron and War,Yoruba lands,Male,"Warrior, Smith","War, Iron",Iron Tools,Iron Gray,"Courage, Strength",Married,Yemoja,Olorun,Oshun,Shango
Scottish/Irish,Oisin,Human,"Poet and Warrior, Son of Fionn Mac Cumhaill",Ireland,Male,Poetic and Skilled in Combat,"Poetry, Combat","Harp, Sword","Green, Blue","Poetry, Combat",Married,Sadb,Fionn Mac Cumhaill,Niamh,
Powhatan,Okeus,God,Supreme Being and Source of All Existence,Powhatan Confederacy,Male,Supreme Being,"Creation, Existence, Universal Power",Cosmic Symbols,Cosmic Colors,"Existence, Universal Power",,,,,
Powhatan,Okeusuwah (Evening Star),Spirit,Evening Star Spirit and Guardian of Night,Powhatan Confederacy,Female,Evening Star Spirit,"Evening Star, Night, Comfort",Celestial Symbols,Black,"Night, Comfort",,,,,
Ainu,Okikurumi,God,Creator God,Ainu Regions,Male,God,Creation,"Mountains, Sea",,Creation,,,,,
Yoruba,Olabayi,God,Sky God,Yoruba Regions,Male,God,"Sky, Weather","Sky, Thunder",Blue,"Sky, Weather",,,,,
Nez Perce,Old Man Coyote,Spirit,Trickster,Nez Perce Region,Male,Spirit,Trickery,Coyote,,Humor,,,,,
Sao,Olodumare,God,"Supreme deity, creator of the universe",Cosmos,Other,Wise and Transcendent,"Creation, order",Solar disk,Gold,"Creation, order, cosmic balance",,,,,All beings and aspects of existence
Dahomey,Olokun,God,Goddess of the sea and wealth,Sea,Female,Wealthy and Mysterious,"Sea, wealth","Fish, pearls",Blue,"Wealth, mystery",,,,,
Sao,Olokun,God,Goddess of the sea and wealth,Oceans,Female,Enigmatic and Wealthy,"Sea, wealth",Conch shell,Blue,"Wealth, abundance, oceanic mysteries",,Olodumare,,,Various sea and wealth deities
Yoruba,Olorun,God,Supreme Deity,Yoruba cosmology,Male,"Creator, Source","Creation, Order","Sun, Light",Gold,"Creation, Cosmic Order",,,,,
Maasai,Oltaiyoni,Spirit,Spirit of the Mountain,Maasai Regions,Other,Spirit,"Mountain, Guardian",Mountain Symbols,,"Mountain, Guardian",,,,,
Yanomami,Omama,God,Sky Goddess and Mother of Humans,Amazon Rainforest,Female,Maternal Sky Deity,"Sky, Humans, Fertility","Sky, Celestial Symbols",Blue,"Fertility, Life",,,,,Humans
Olmec,Ometeotl,God,Dual-Deity (Ome and Teotl),Mesoamerica,Other,Cosmic Creator,"Creation, Dualism","Dual Faces, Abstract Symbols",,"Creation, Balance",,,,,
Aztec,Ometeotl,God,Supreme deity embodying duality and unity,Mesoamerica,Other,Cosmic Duality,"Duality, Unity, Creation",Dual Faces,,"Duality, Unity, Balance, Creation",,,,,Various Deities
Iroquois,Ondonti,Spirit,Spirit,Iroquois Nations,Other,Spirit,"Nature, Water","Water, River",,"Nature, Water",,,,,
Vietnamese,Ông Tao,God,"Kitchen God, Overseer of Household",Earth,Male,Observant and Reporting,Household Affairs,"Stove, Whisk",Red,Household Harmony,,,,,
Mongolian,Ongon,Spirit,Household Spirits and Ancestral Guardians,Earth,Other,Protective and Ancestral,"Household, Ancestral Spirits",Ancestral Symbols,Varies,"Ancestral Worship, Protection",,Gazar Eej,Udgan Eej,,
Roman,Ops,God,Goddess of Plenty,Italy,Female,Abundant and Nurturing,"Abundance, harvest",Sheaf of Wheat,Green,"Abundance, harvest",,,,,
Yoruba,Ori,Spirit,Guardian Spirit,Yoruba Region,Other,Spirit,"Destiny, Inner Head",Head Symbol,,Destiny,,,,,
Tahitian,Oro,God,God of war and fertility,"War, fertility",Male,Warlike and Fertile,"War, fertility, music","War clubs, war symbols",Red,"War, fertility, music",,Sky Father,Earth Mother,,"Many, including war and fertility spirits"
Sao,Orun,Spirit,Collective term for ancestral spirits and deceased individuals,Cosmos,Other,Ancestral and Ethereal,Ancestral connections,Ancestral spirits,Varied,"Ancestral guidance, remembrance",,Olodumare,,,Various ancestral spirits
Sao,Orunmila,God,"God of wisdom, divination, and knowledge",Cosmos,Male,Wise and Knowledgeable,"Divination, wisdom",Divination tools,Green,"Wisdom, knowledge, foresight",,Olodumare,,,Various divinatory and wisdom deities
Yoruba,Orunmila,God,God of Wisdom and Divination,Yoruba lands,Male,"Wise, Knowledgeable",Divination,"Opele Chain, Iroke",Green,"Wisdom, Divination",,Yemoja,Olorun,,Orunmila
Sao,Osanyin,God,"God of herbs, healing, and mystical knowledge",Forests,Male,Wise and Healing,"Herbs, healing, mystical knowledge",Bundle of herbs,Green,"Healing, herbal knowledge, mysticism",,Olokun,Orunmila,,Various herb and healing deities
Creek,Oshito,Spirit,Sun Spirit,Creek Nation,Other,Spirit,Sun,Sun,,Sun Spirit,,,,,
Sao,Oshosi,God,"God of hunting, justice, and divination",Forests,Male,Just and Skilled,"Hunting, justice, divination",Bow and arrow,Green,"Justice, divination, hunting skills",,Olokun,Obatala,,Various hunting and justice deities
Yoruba,Oshumaré,God,Rainbow Deity,Yoruba Region,Other,Deity,Rainbow,Rainbow,,Transformation,,,,,
Sao,Oshun,God,"Goddess of love, fertility, and rivers",Rivers,Female,Sensual and Nurturing,"Love, fertility, rivers",Water jug,Yellow,"Sensuality, fertility, creativity",,Olodumare,,,Various love and river deities
Yoruba,Oshun,God,Goddess of Love and Fertility,Yoruba lands,Female,"Sweet, Sensual","Love, Fertility","Rivers, Honey",Yellow,"Love, Fertility",Married,Yemoja,Olorun,Shango,"Oya, Ogun"
Yoruba,Oshun,God,"Goddess of love, fertility, and rivers",West Africa,Female,Deity,"Love, Fertility, Rivers","Rivers, Fan",Yellow,"Love, Fertility, Wealth",-,Oduduwa,Obatala,-,Various deities
Egyptian,Osiris,God,God of the afterlife,Duat (Underworld),Male,"Resurrected and ruler of the underworld,",Death and afterlife,"Crook and flail,","Gold, yellow","Afterlife, resurrection",Married,Isis,Osiris,"Isis, Nephthys","Many, including Hapi, Kebechsenef,"
Egyptian ,Osiris,God,"God of the afterlife, associated with resurrection",Egypt,Male,Deity,"Afterlife, Resurrection",Crook and flail,Green,"Afterlife, Resurrection",-,Nut,Geb,Isis,"Horus, Anubis, Set"
Sao,Osun,God,"Goddess of love, fertility, and rivers",Rivers,Female,Loving and Fertile,"Love, fertility, rivers",Heart,Yellow,"Love, fertility, emotional well-being",,Olodumare,,,Various love and river deities
Iroquois,Owayeonh,Spirit,Spirit,Iroquois Nations,Other,Spirit,"Wind, Air",Wind,,"Wind, Air",,,,,
Sao,Oya,God,"Goddess of wind, storms, and transformation",Sky,Female,Powerful and Transformative,"Wind, storms, transformation",Tornado,Purple,"Change, transformation, vitality",,Olodumare,,,Various wind and storm deities
Yoruba,Oya,God,Goddess of Wind and Transformation,Yoruba lands,Female,"Fierce, Transformative","Wind, Change","Winds, Tornadoes",Burgundy,"Change, Transformation",Married,Yemoja,Olorun,Shango,
Inca,Pachamama,God,Sun god,Koricancha (Golden Temple),Male,Creator and life,Creation and life,"Sun disk, corn cob","Gold, black","Creation, life",Married,Viracocha,Viracocha,"Mama Quilla,","Many, including Xochiquetzal,"
Egyptian,Pakhet,God,Lioness Goddess,Egypt,Female,Goddess,"Hunting, War",Lioness,Gold,"Hunting, War",,,,,
Buddhist,Palden Lhamo,God,Guardian Goddess,Tibet,Female,Wrathful Protector,"Protection, Terrifying Aspect","Mule, Trampling Demon",Blue/Black,"Protection, Justice",,,,,
Tibetan,Palden Lhamo,God,Guardian Goddess,Tibetan Buddhism,Female,Deity,"Protection, Wrath","Mule, Blue Lotus",Blue,"Protection, Wrath",,,,,
Sicilian,Palici,God,Twin Gods of Geysers and Springs,Sicily,Male,Protective and Benevolent,"Geysers, springs","Springs, geysers",Blue,"Purification, protection",,,,,
Greek,Pan,God,God of the Wild,Greek,Male,Wild God,"Nature, Music","Goat, Pan Pipes",Brown,"Nature, Music",,,Hermes,,
Greek,Panacea,God,Goddess of Healing,Mount Olympus,Female,Healing and Soothing,"Healing, medicine",Bowl of medicine,Green,"Healing, health, wellness",,Asclepius,Epione,,
Caribbean,Papa Bois,Spirit,Nature and Forest Spirit,Trinidad and Tobago,Male,Guardian of Nature,"Forests, Wildlife, Nature Conservation","Horns, Cloak of Leaves","Green, Brown","Nature, Conservation",,,,,
Caribbean,Papa Legba,God,Gatekeeper and Loa of Crossroads,"Haiti, Vodou",Male,Guardian of Crossroads,"Communication, Opportunity, Spirituality","Old Man, Crossroads Symbol","Red, Black","Communication, Opportunity",,Bondye,Maman Brigitte,,"Many, including Ghede"
Polynesian,Papatūānuku,God,"Earth goddess, mother of all",Earth,Female,Nurturing and Protective,"Earth, nature",Earth,Brown,"Nature, motherhood",,,,,Various nature-related beings
Sumerian,Papsukkal,God,Messenger,Sumer,Male,God,Messenger,,,Messenger,,,,,
Zoroastrian,Parendi,Spirit,Spirit of victory,-,-,Deity,Victory,-,-,Victory,-,-,-,-,Various deities
Hindu,Parvati,God,Goddess of Power and Love,Mount Kailash,Female,Gentle and Fierce,"Love, Motherhood","Trishula, Lotus",Red,"Power, Love",Married,Himavan,,Shiva,"Ganesha, Kartikeya"
Powhatan,Paukunawaw,Spirit,Sun Spirit and Guardian of Day,Powhatan Confederacy,Male,Solar Spirit,"Sun, Day, Light","Sun Disk, Radiant Symbols","Yellow, Red","Light, Warmth",,,,,
Nenets,Peksegei,God,God of Thunder and Lightning,Nenets Region,Male,Powerful and Thunderous,"Thunder, Lightning","Thunderbolt, Drum","Blue, White","Power, Energy",,,,,"Many, including storm spirits"
Hawaiian,Pele,God,"Goddess of fire, volcanoes, and creator","Fire, volcanoes",Female,"Passionate and Creative, Destructive","Fire, volcanoes, creation","Fire, lava, hibiscus flower","Red, yellow","Transformation, Creativity, passion",,Haumea,Kane Milohai,Kamapua'a,"Many, including fire and lava spirits"
Baltic,Perkūnas,God,God of thunder and the sky,Sky,Male,Thunderous and Protective,"Thunder, protection, war","Axe, thunderbolts","Red, gold","Protection, war",,Saule,Dievas,,"Many, including giants and demons"
Greek,Persephone,God,Goddess of Spring and the Underworld,Underworld,Female,Compassionate and Resilient,"Spring, afterlife",Pomegranate,Green,"Renewal, transition, growth",Married,Demeter,Zeus,Hades,
Slavic,Perun,God,God of Thunder and Lightning,Sky,Male,Thunderous and Strong,"Thunder, storms","Axe, hammer","Red, white","Power, courage",,Svarog,Svarog,,"Many, including Veles"
Laotian,Phi Am,Spirit,Guardian Spirit of Places,Specific Locations,Other,Protective and Localized,Local Protection,"Offerings, Statues",Varies,Local Guardian,,,,,
Laotian,Phi Kong Koi,Spirit,House Spirit,Houses,Other,Mischievous and Protective,"Homes, Protection","Ancestral Altar, Incense",White,"Home, Protection",,,,,
Laotian,Phi Phrai,Spirit,Ghost Spirit,Spirit Realm,Other,Vengeful and Restless,"Ghostly Haunting, Revenge",Ghostly Apparition,Grey,"Restless Spirits, Vengeance",,,,,
Laotian,Phi Pop,Spirit,Spirit of the Ancestors,Ancestral Spirits,Other,Respectful and Ancestral,"Ancestral Worship, Guidance","Ancestral Altar, Offerings",White,Ancestral Connection,,,,,
Laotian,Phya Khankhaak,God,God of the Sky and Weather,Sky,Male,Powerful and Commanding,"Sky, Weather","Clouds, Lightning",Blue,"Power, Authority",,,,,
Laotian,Phya Naga,God,"Serpent Deities, Guardians of Water","Rivers, Waters",Other,Protective and Serpentine,"Water, Protection","Serpent, Water",Blue,"Protection, Water",,,,,
Mapuche,Pillán,Spirit,Spirits of Ancestors and Natural Forces,Mapuche Territory,Other,Ancestral Spirits,"Nature, Elements, Protection","Wind, Lightning, Natural Symbols",Various,Ancestral Connection,,,,,
Inuit,Pinga,God,Goddess of the Hunt and Fertility,Arctic Regions,Female,Nurturing and Skillful,"Hunting, Fertility",Bow and Arrows,"Green, Brown","Fertility, Hunting Success",,,,,"Many, including animal spirits"
Ainu,Pirka-us Kamuy,God,Marsh,Ainu,Male,Deity,Marsh,,,Marsh,,,,,
Zapotec,Pitao Cozobi,God,God of Maize and Rain,Mesoamerica,Male,Maize God and Rain God,"Maize, Rain, Agriculture",Maize Symbols,Green,"Maize, Rain, Agriculture",,,,,
Roman,Pluto,God,God of the Underworld,Rome,Male,Mysterious and Underworldly,"Underworld, wealth",Cerberus,Black,"Underworld, wealth",Married,Saturn,Ops,Proserpina,
Polynesian,Po,God,Personification of darkness,Underworld,Other,Enveloping and Mysterious,"Darkness, night",Night sky,Black,Appreciation of night,,,,,Various night-related beings
Hawaiian,Po,Spirit,Primordial darkness and chaos,Hawaii,Other,Cosmic Darkness,"Darkness, Chaos, Primordial State",,,"Darkness, Chaos, Origin",,,,,Various Cosmic Forces
Nenets,Poley,God,Goddess of the Hearth and Home,Nenets Region,Female,Domestic and Protective,"Hearth, Home","Hearth, Cooking Utensils","Red, Brown","Hearth, Home",,,,,"Many, including household spirits"
Hawaiian,Poliahu,God,Snow Goddess,Hawaii,Female,Goddess,"Snow, Ice",Snowflakes,White,Snow Goddess,,,,,
Hawaiian,Poli'ahu,God,Goddess of snow and ice,Mountains,Female,Graceful and Pure,"Snow, ice",Snowflakes,White,"Purity, beauty",,,,,Various ice-related beings
Greek,Poseidon,God,God of the sea,Olympus,Male,Powerful and unpredictable,Sea and earthquakes,"Trident, horse","Blue, green","Power, unpredictability",Married,Rhea,Cronus,"Amphitrite, many others,","Many, including Triton"
Cambodian,Preah Thaong and Neang Neak,God,Legendary Lovers,Earth,Other,Romantic and Courageous,"Love, Adventure","Heart, Sword",Red,"Love, Courage",Married,,,Each Other,Children Together
Communist,Proletariat,Human,Champions of the Working Class,Global,Other,Working Class Heroes,"Equality, Social Justice",Hammer and Sickle,Red,"Equality, Workers' Rights, Solidarity",Married,Collective,Collective,Collective,Collective
Capitalist,Prosperity,God,Goddess of Wealth and Prosperity,Global,Female,Wealth Accumulator,"Prosperity, Commerce, Success","Coins, Abundance",Gold,"Prosperity, Wealth, Success",,,,,"Fortune, Fortune"
Greek,Proteus,God,"Sea god, shape-shifter",Greece,Male,Shapeshifter,"Sea, Change, Wisdom",Shape-shifting abilities,Blue,"Adaptability, Wisdom, Change",,Poseidon,Nereus,,
Egyptian,Ptah,God,Creator God and Craftsman,Memphis,Male,Creative and Skilled,"Creation, craftsmanship","Bull, Djed pillar",Navy Blue,"Creation, craftsmanship",,,,,
Gnostic,Ptahil,God,"Demiurge, Creator of the Material World",Gnostic,Male,"Demiurge, Creator",Material Creation,,,"Material Creation, Order",,,,,
Lakota,Ptehe Wakinyan,Spirit,Thunderbird Spirit,Lakota Nation,Other,Spirit,"Thunder, Lightning",Thunderbird,,"Thunder, Lightning",,,,,
Lakota,Ptesan Wi,Spirit,White Buffalo Calf,Lakota Nation,Female,Spirit,Prophecy,White Buffalo Calf,White,Prophecy,,,,,
Norman,Puck,Spirit,Mischievous Spirit,Normandy,Male,Trickster Spirit,"Mischief, Pranks",Mischievous Symbols,Green,"Mischief, Humor",,,,,
Hawaiian,Pukalani,God,Goddess,Hawaii,Female,Goddess,"Beauty, Agriculture",Flowers,,"Beauty, Agriculture",,,,,
Algonquin,Pukawiss,Spirit,Spirit,Algonquin Regions,Male,Spirit,"Wind, Dreams","Wind, Dreamcatcher",,"Wind, Dreams",,,,,
Inuit,Pukimnaq,God,Sea Ice God,Arctic Regions,Male,Solid and Unyielding,Sea Ice,Sea Ice,"Blue, White","Stability, Solidity",,,,,Sea ice spirits
Polynesian,Punga,God,God of sharks and sea creatures,"Ocean, Seas",Male,Mysterious and Predatory,"Sharks, sea creatures","Sharks, sea creatures",Various,Balance in nature,,,,,Various sea creatures
Sumerian,Puzur-Amurri,God,Purification,Sumer,Male,God,Purification,,,Purification,,,,,
Yazidi,Qadis,Spirit,Angelic Being,Yazidi,Other,Angelic Being,"Holiness, Purity",,White,"Holiness, Purity",,,,,
Yazidi,Qawalish,Anthropomorphism,Sacred Being,Yazidi,Other,Sacred Being,"Holiness, Purity",,White,"Holiness, Purity",,,,,
Arab,Qaynan,God,God of Carpentry and Metalwork,Arabian Peninsula,Male,Skilled Artisan and Builder,"Carpentry, Metalwork, Craftsmanship",Hammer and Anvil,Brown,"Craftsmanship, Artistry",,,,,
Sumerian,Qingu,God,Rebellion,Sumer,Male,God,Rebellion,,,Rebellion,,,,,
Chinese,Quan Yin,God,Goddess of compassion,Heaven,Female,Compassionate and merciful,Compassion and mercy,"Willow branch, lotus","Gold, white","Compassion, mercy",Married,Emperor,Jade Emperor,"Many, including Golden Cicada","Many, including Amatsu Mikaboshi"
Canaanite,Qudshu (Qadesh),God,Goddess of love,-,Female,Deity,"Love, sacred sexuality",-,-,Love and sacred sexuality,-,-,-,-,-
Toltec,Quetzalcoatl,God,Feathered Serpent God,Mesoamerica,Male,Creator and Wind God,"Creation, Wind, Learning","Feathered Serpent, Wind",White,"Wisdom, Creation",,,,,
Aztec ,Quetzalcoatl,God,Feathered Serpent God,Mesoamerica,Male,Creator and Wind God,"Creation, Wind",Feathered Serpent,Blue,"Creation, Wind, Wisdom",-,Coatlicue,Mixcoatl,-,Various deities
Roman,Quirinus,God,God of War and Protection,Italy,Male,Protective and Warlike,"War, protection",Spear,Red,"Protection, war",,,,,
Egyptian,Ra,God,Sun god,Heliopolis,Male,Radiant and powerful,"Sun and light,","Sun disk, falcon","Red, orange","Sun, light",Married,Nut,Ra,"Isis, Nephthys","Horus, Anubis"
Hindu,Radha,God,Goddess of Love and Devotion,Vrindavan,Female,Devoted and Compassionate,"Love, Devotion","Lotus, Veena",Rose Pink,Unconditional Love,Married,"Kirti, Vrishabhan",,Krishna,Various Consorts
Sami,Radien,God,Supreme God and Creator,Sami Lands,Male,Wise and Benevolent,"Creation, Wisdom","Sun, Sky",Yellow,"Creation, Wisdom",,,,,"Many, including nature spirits"
Sami,Radien-Attje,God,"Son of Radien, Guardian of Nature and Wilderness",Sami Lands,Male,Protector of Nature,"Nature, Wilderness","Trees, Animals","Green, Brown","Nature, Wilderness",,Radien,Maderakka,,"Many, including nature spirits"
Egyptian,Ra-Horakhty,God,Sun God,Egypt,Male,God,"Sun, Kingship","Sun Disk, Falcon",Gold,Kingship,,Nut,Geb,,"Shu, Tefnut"
Shinto,Raijin,God,God of thunder and lightning,Sky,Male,Powerful and Destructive,"Thunder, lightning","Drum, drumsticks","Red, black","Power, destruction",,,,,"Many, including Fujin"
Aboriginal,Rainbow Serpent,Anthropomorphism,"Creator of landscapes, waterways, and life","Land, Waterways",Other,Creative and Transformative,"Creation, shaping the land","Rainbow, serpent",Various,"Creation, transformation",Married,,,"Various, including Daramulum",Various land and water creatures
Fijian,Raiqeu,God,God of thunder and lightning,Sky,Male,Powerful and Destructive,"Thunder, lightning",Lightning bolt,Various,"Power, awe",,,,,Various storm-related beings
