Pantheon,Name,Title,Function,Territory,Sex,Character,Interests,Symbolism,Color,Values,Status,Mother,Father,Lover,Children,Name-Greek,Name-Greek
yazidi,sheikh adi,spirit,spiritual leader and saint,yazidi,other,spiritual leadership,"guidance, holiness",,white,spiritual leadership,,,,,,,
jewish,shekhinah,god,divine presence,heaven,other,nurturing and protective,"presence, divine revelation, comfort",divine light,white,"comfort, guidance",,,,,,,
mesopotamian,shezmu,god,god of wine,egypt,male,god,"wine, blood","wine grapes, blood",red,"wine, blood",,,,,,,
creek,shilombish,spirit,spirit,creek nation,other,spirit,nature,,,spirit,,,,,,,
ainu,shitakara kamuy,god,sea god,ainu regions,male,god,"sea, marine life","sea, fish",,"sea, marine life",,,,,,,
hindu,shiva,god,destroyer god,cosmic realm,male,destructive and benevolent,destruction and rebirth,"third eye, trident","blue, pink","destruction, rebirth",married,parvati,shiva,"parvati, sati","many, including ganesha, kartikeya,",,
albanian,shtriga,god,witch-like creatures,albania,other,malevolent and deceptive,"darkness, curses, transformation","night, shadows",black,"caution, avoidance",,,,,,,
egyptian,shu,god,god of air and sunlight,egypt,male,protective and illuminating,"air, sunlight","ostrich feather, lion",gold,"air, sunlight, protection",married,,ra,tefnut,nut,,
sardinian,sid addir,god,god of healing and medicine,sardinia,male,healing and compassionate,"medicine, well-being",serpent,green,"healing, compassion",,,,,,,
buddhist,siddhartha gautama,spirit,spiritual teacher,india,other,enlightened one,four noble truths,dharma wheel,,"compassion, nirvana",married,maya,suddhodana,yasodhara,rahula,,
norse,sif,god,goddess of harvest and agriculture,asgard,female,nurturing and abundant,"harvest, agriculture","wheat, golden hair",gold,"harvest, abundance",,,thor,,ullr,,
inuit,silap inua,spirit,spiritual force within all things,arctic regions,other,spiritual essence,"nature, spirits, balance",spirit within everything,varied,"harmony with nature, balance, connection",,,,,various spirits,,
slavic,simargl,god,deity,slavic regions,other,deity,"sun, fire, fertility","fire, sun",,fertility,,,,,,,
assyrian,sin,god,god of the moon,assyria,male,moon god,"moon, night",crescent moon,silver,"mystery, cycles of nature",married,enlil,ninlil,ningal,"shamash, ishkur",,
sumerian,siris,god,beer,sumer,other,goddess,beer,,,beer,,,,,,,
norse,skadi,god,goddess of winter and the hunt,jotunheim,female,independent and skilled,"winter, hunting","mountains, skis","white, blue","winter, independence",married,thjazi,not mentioned,njord,,,
iroquois,skennenrahawi,human,culture hero,iroquois nations,other,hero,"peace, unity","great law, peace pipe",,"peace, unity",,,,,,,
iroquois,sky woman,god,primordial being and mother of humanity,iroquois confederacy,male,primordial being,"creation, motherhood, humanity",celestial symbols,blue,"creation, connection with humanity",,,,,,,
egyptian,sobek,god,god of crocodiles and fertility,egypt,male,fierce and fertile,"crocodiles, fertility",crocodile,green,"fertility, protection",,neith,set,,,,
caribbean,soucouyant,spirit,shapeshifting vampire hag,trinidad and tobago,other,malevolent spirit,"bloodsucking, shapeshifting, nightmares","fire, bats",red,"fear, nightmares",,,,,,,
armenian,spandaramet,god,goddess of birth,armenian regions,female,goddess,"childbirth, protection",protective symbols,,"childbirth, protection",,,,,,,
zoroastrian,spenta,spirit,divine holy spirits,zoroastrian,other,divine spirits,various aspects,,,divine aspects,,,ahura mazda,,,,
zoroastrian,spenta armaiti,spirit,"holy devotion, divine wisdom",-,other,deity,"holy devotion, divine wisdom",-,-,"devotion, wisdom",-,-,-,-,various deities,,
hopi,spider grandmother,god,creatrix and weaver of the web of life,hopi reservation,other,"creatrix, weaver","creation, weaving, life","spider, web symbols",various,"creation, connection with nature",,,,,,,
hopi,spider woman,god,creator,hopi mesas,other,deity,"creation, weaving",spider,,wisdom,,,,,,,
zoroastrian,sraosha,god,yazata of obedience,zoroastrian,other,divine obedience,"obedience, protector","wings, sword",white,"obedience, protection",,anahita,ahura mazda,,,,
sami,stallo,spirit,malevolent giants,sami lands,other,malevolent and deceptive,"mischief, deception",giant figurines,grey,"mischief, trickery",,,,,,,
croatian,stribog,god,god of wind and air,croatia,male,gentle and unseen,"wind, air",wind symbols,sky blue,"freedom, change",,,,,,,
ligurian,sua,god,goddess of the sun,liguria,female,radiant and nurturing,"sun, light",sun disc,yellow,"sun, light, warmth",,,,,,,
muisca,sua,god,goddess,muisca confederation,female,goddess,"water, fertility","water, fertility symbols",,"water, fertility",,,,,,,
sumerian,sud,god,purification,sumer,other,god,purification,,,purification,,,,,,,
slavic,sudenitsa,god,goddess,slavic regions,female,goddess,"spring, fertility",flowers,,fertility,,,,,,,
tupinambá,sumé,god,god of health and healing,tupinambá region,male,healing deity,"health, well-being, medicinal plants","medicinal plants, healing icons",green,"health, healing",,,,,,,
chinese,sun wukong,human,monkey king,"earth, heaven",other,mischievous and wise,"trickery and magic,","golden cudgel, cloud","gold, white","trickery, magic,",married,wangmu,jade emperor,"many, including jade rabbit","many, including susanoo",,
shinto,susanoo,god,god of storms and seas,takamagahara (high plain of heaven),male,stormy and watery,storms and water,"mirror, jade rabbit","red, blue","storms, water",married,"izanami,",izanagi,"many, including pangu","many, including amaterasu, tsukuyomi,",,
shinto,susano-o,god,god of storms and sea,sea,male,powerful and chaotic,"storms, sea","dragon, sea waves",blue,"power, chaos",,izanagi,izanagi,,"many, including oyuki",,
arab,suwa,god,god of the evening star,southern arabia,male,evening star and lightbringer,"evening star, light",star symbol,yellow,"illumination, guidance",,,,,,,
slavic,svarog,god,god of celestial fire and blacksmithing,sky,male,fiery and skilled,"celestial fire, blacksmithing","anvil, fire","gold, red","craftsmanship, fire",,slavic,slavic,,"many, including dazhbog",,
cheyenne,sweet medicine,spirit,medicine spirit,cheyenne nation,other,spirit,healing,medicine wheel,,healing,,,,,,,
tahitian,ta'aroa,god,supreme creator god,sky,male,wise and all-powerful,"creation, wisdom",spiral shell,white,"wisdom, divine creation",,,,,various cosmic beings,,
fijian,tagaloa,god,god of creation and ruler of the heavens,sky,male,wise and benevolent,"creation, rulership",sky symbols,blue,"wisdom, divine creation",,,,,various celestial beings,,
tuareg,tagelmust,spirit,spirit associated with protection and guidance,desert,other,protective and guiding,"protection, guidance",veil,varied,"protection, guidance",,,,,,,
berber,tahart,god,god of mountains and endurance,mountains,male,enduring and majestic,"mountains, endurance",mountain range,gray,"strength, endurance, perseverance",,,,,various mountain and endurance deities,,
chinese,taiyi,god,primordial deity representing the void,china,other,cosmic balance,"unity, balance, cosmic order","circle, yin-yang","black, white","harmony, balance, cosmic order",,,,,various primordial beings,,
totonac,tajín,god,deification of the city of tajín,mesoamerica,other,deified city,"urban life, rituals, community",city symbols,,"urban life, community",,,,,,,
tuareg,takamet,god,goddess of the moon and night,desert,female,illuminating and mysterious,"moon, night",crescent moon,silver and black,"moonlight, mystery, nighttime",,,,,,,
arab,ta'lab,god,god of hunt,arabian peninsula,male,hunter and protector,"hunting, wilderness, protection",bow and arrow,green,"hunting, nature",,,,,,,
nez perce,talako,spirit,thunder spirit,nez perce region,other,spirit,thunder,thunderbird,,thunder spirit,,,,,,,
tuareg,tamazgha,spirit,cultural and historical homeland,desert,other,nurturing and preserving,"cultural heritage, identity",tuareg flag,blue and yellow,cultural preservation,,,,,,,
assyrian,tammuz,god,god of vegetation and sacrifice,assyria,male,god of vegetation,"vegetation, sacrifice, resurrection","shepherd's crook, grain",green,"vegetation, renewal",,ishtar,,,,,
vietnamese,tản viên sơn thánh,god,mountain deity and sage,mountains,other,wise and reclusive,"mountains, wisdom","mountain peaks, staff",brown,"wisdom, solitude",,,,,,,
tahitian,tāne mahuta,god,god of forests and birds,forests,male,caring and protective,"forests, birds","trees, birds",green,"conservation, protection",,,,,various forest beings,,
maori,tāne mahuta,god,god of forests and birds,forests,male,noble and protector,"forests, birds, life","birds, trees","green, brown","nature, life",,papatuanuku,ranginui,,"many, including birds and forest creatures",,
polynesian,tāne mahuta,god,god of forests and birds,forests,male,caring and protective,"forests, birds","trees, birds",green,"conservation, protection, wisdom",,papatūānuku,rangi,,various forest and bird beings,,
polynesian,tāne-i-te-hokahoka,god,god of forests and birds (alternate form),forests,male,caring and protective,"forests, birds","trees, birds",green,"conservation, protection",,papatūānuku,rangi,,various forest beings,,
polynesian,tāne-rore,god,goddess of the arts and dance,land,female,creative and graceful,"arts, dance",dance implements,various,artistic expression,,,,,various artistic beings,,
maori,tangaroa,god,god of the sea and fertility,oceans,male,powerful and fertile,"sea, fertility","fish, fertility symbols",blue,"fertility, marine life",,papatuanuku,ranginui,,sea creatures,,
polynesian,tangaroa,god,god of the sea and marine creatures,"ocean, seas",male,protective and nurturing,"sea life, ocean navigation","sea, marine life",blue,sea-related activities,,,,,various sea creatures,,
polynesian,tangaroa,god,god of the sea and fish,"oceans, seas",male,benevolent and protective,"sea, fish",fish,blue,harmony with nature,,papatūānuku,rangi,,various sea beings,,
berber,tanit,god,"goddess of the moon, fertility, and war",moon,female,protective and fertile,"moon, fertility, war",crescent moon,silver,"fertility, protection, lunar cycles",,,,,various lunar and fertility deities,,
sardinian,tanit,god,mother goddess,sardinia,female,nurturing and protective,"motherhood, protection","moon, dove",white,"motherhood, protection",,,,,,,
finnish,tapio,god,forest,finland,other,god,nature,forest,green,forest,,,,,,,
buddhist,tara,god,bodhisattva of liberation,cosmic,other,compassionate being,"compassion, liberation","lotus, moon",green,"liberation, compassion",,,,,,,
lakota,tate,spirit,wind spirit,lakota nation,other,spirit,"wind, messenger",wind symbols,,"wind, messenger",,,,,,,
lakota sioux,taté,spirit,wind spirit and messenger between worlds,lakota territory,other,wind deity,"wind, communication, spirituality",wind symbols,white,spiritual connection,,,,,,,
guaraní,tau,god,god of the forest and animal spirits,guaraní region,male,forest deity,"forests, animals, nature","trees, animal symbols","green, brown","harmony with nature, animal spirits",,,,,animals,,
hopi,tawa,god,sun god ,hopi mesas,male,supreme being,creator of the first world,sun,,sun god ,,,,,masauwu,,
egyptian,tawaret,god,hippo goddess,egypt,female,goddess,"fertility, protection",hippopotamus,blue,"fertility, protection",,,,,,,
polynesian,tāwhaki,human,heroic figure and culture hero,"land, sky",other,adventurous and skilled,cultural achievements,spear,various,pursuit of knowledge,,,rangi,,various cultural beings,,
maori,tawhirimatea,god,god of weather and storms,sky,male,unpredictable and powerful,"weather, storms","wind, storm symbols","blue, white","weather patterns, strength",,papatuanuku,ranginui,,storm spirits,,
polynesian,tāwhirimātea,god,god of storms and winds,sky,male,powerful and unpredictable,"storms, winds",storm clouds,gray,respect for natural forces,,papatūānuku,rangi,,various storm beings,,
yazidi,tawûsê melek,spirit,peacock angel,yazidi,other,divine beauty,"beauty, cosmic harmony",peacock,blue,"beauty, harmony",,,,,,,
berber,tefnut,god,goddess of moisture and dew,nature,female,nurturing and refreshing,"moisture, dew",dewdrop,blue,"refreshment, vitality, growth",,,,,various nature and water deities,,
tuareg,tefnut,god,goddess of rain and fertility,desert,female,nurturing and life-giving,"rain, fertility",rain cloud,blue and silver,"fertility, life-giving rain",,,,,,,
egyptian,tefnut,god,goddess of moisture and dew,egypt,female,gentle and nurturing,"moisture, dew",lioness,light blue,"moisture, fertility, renewal",married,,,shu,nut,,
inuit,tekkeitsertok,spirit,spirit of the wind,arctic regions,other,swift and gentle,"wind, air",wind symbols,"white, grey","swiftness, freedom",,,,,,,
hittite,telipinu,god,god of vegetation,hittite regions,male,god,agriculture,"grain, plough",green,agriculture,,,,,,,
roman,tellus,god,goddess of the earth,italy,female,earthy and fertile,"earth, fertility",earth globe,brown,"fertility, grounding",,,,,,,
